,ACWI,AGG,DBC,EEM,EWJ,GLD,HDV,IEF,IEV,IJH,IJR,IXUS,IYR,RWX,SHY,TLT
2012-03-30,,,,,,,,,,,,,,,,
2012-04-30,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,,
2012-06-29,,,,,,,,,,,,,,,,
2012-07-31,,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,,,,,,,,,
2012-09-28,,,,,,,,,,,,,,,,
2012-10-31,,,,,,,,,,,,,,,,
2012-11-30,,,,,,,,,,,,,,,,
2012-12-31,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,
2013-03-29,0.0513595166163142,,,0.0513595166163142,0.12990936555891236,,0.202416918429003,,0.0513595166163142,0.12990936555891236,0.21148036253776434,,0.06042296072507553,0.0513595166163142,,0.06042296072507553
2013-04-30,0.01413690476190476,,0.1086309523809524,0.09747023809523811,0.23735119047619052,0.11979166666666669,0.22619047619047622,,0.01413690476190476,0.02529761904761905,0.1369047619047619,,0.0029761904761904704,0.01413690476190476,,0.0029761904761904704
2013-05-31,0.024959742351046723,,0.11674718196457325,0.10386473429951688,0.16666666666666669,0.11674718196457325,0.16666666666666669,,0.024959742351046723,0.03784219001610309,0.17954911433172305,,0.024959742351046723,0.024959742351046723,,0.012077294685990366
2013-06-28,0.02008032128514058,,,0.14056224899598393,0.21285140562248997,,0.22891566265060243,,0.02008032128514058,0.10843373493975904,0.22891566265060243,,0.02008032128514058,0.02008032128514058,,
2013-07-31,0.0789707187222715,,,0.09316770186335403,0.09139307897071876,,0.09139307897071876,,0.06299911268855372,0.06299911268855372,0.36113575865128666,,0.0789707187222715,0.0789707187222715,,
2013-08-30,0.02887700534759359,,,0.045989304812834225,0.011764705882352946,,0.011764705882352946,,0.14224598930481283,0.02887700534759359,0.33048128342245986,,0.2,0.2,,
2013-09-30,0.07186147186147186,,,0.05800865800865799,0.0528138528138528,,0.1913419913419913,,0.21038961038961038,0.05800865800865799,0.22424242424242422,,0.06666666666666667,0.06666666666666667,,
2013-10-31,0.11757857974388826,,,0.11757857974388826,0.05005820721769501,0.05005820721769501,0.05005820721769501,,0.1362048894062864,0.05005820721769501,0.1734575087310827,0.11757857974388826,0.06868451688009315,0.06868451688009315,,
2013-11-29,0.07275541795665635,,,0.07275541795665635,0.07275541795665635,,0.07275541795665635,,0.0975232198142415,0.07275541795665635,0.36996904024767796,0.07275541795665635,0.047987616099071234,0.047987616099071234,,
2013-12-31,0.04081632653061223,,,0.04081632653061223,0.061224489795918324,0.04081632653061223,0.12244897959183676,,0.18367346938775514,0.163265306122449,0.18367346938775514,0.04081632653061223,0.061224489795918324,0.061224489795918324,,
2014-01-31,0.09763313609467457,,,0.09763313609467457,0.11341222879684418,,0.11341222879684418,,0.0601577909270217,0.20216962524654833,0.0601577909270217,0.09763313609467457,0.04437869822485207,0.11341222879684418,,
2014-02-28,0.011329305135951661,,,0.1321752265861027,0.1321752265861027,,0.1321752265861027,,0.10951661631419939,0.23036253776435045,0.12009063444108763,0.011329305135951661,0.10951661631419939,0.011329305135951661,,
2014-03-31,0.03191489361702125,,,0.03191489361702125,0.24468085106382975,,0.010638297872340411,,0.010638297872340411,0.2021276595744681,0.22340425531914887,0.03191489361702125,0.18085106382978725,0.03191489361702125,,
2014-04-30,0.08389830508474576,,,0.08389830508474576,0.18728813559322036,,0.08389830508474576,,0.09745762711864407,0.02457627118644068,0.17372881355932204,0.08389830508474576,0.09745762711864407,0.08389830508474576,,
2014-05-30,0.017322834645669295,,,0.22204724409448826,0.029921259842519688,,0.09606299212598425,,0.004724409448818895,0.11811023622047245,0.15590551181102363,0.017322834645669295,0.12125984251968507,0.10866141732283466,,0.10866141732283466
2014-06-30,0.06521739130434782,,,0.22463768115942032,0.06521739130434782,0.05072463768115941,0.07971014492753623,,0.06521739130434782,0.05072463768115941,0.07971014492753623,0.06521739130434782,0.09420289855072463,0.07971014492753623,,0.07971014492753623
2014-07-31,0.11290322580645164,,,0.17383512544802868,0.1547192353643967,0.026881720430107527,0.01732377538829151,,0.11290322580645164,0.026881720430107527,0.03643966547192353,0.11290322580645164,0.07825567502986859,0.07825567502986859,,0.06869772998805258
2014-08-29,0.14330708661417324,,,0.13385826771653545,0.10866141732283467,,0.004724409448818881,,0.14330708661417324,0.09606299212598428,0.09606299212598428,0.14330708661417324,0.004724409448818881,0.004724409448818881,,0.12125984251968505
2014-09-30,0.1845303867403315,,,0.02762430939226517,0.18674033149171268,,0.009944751381215443,,0.1845303867403315,0.007734806629834285,0.007734806629834285,0.1845303867403315,0.009944751381215443,0.009944751381215443,,0.18674033149171268
2014-10-31,0.11235955056179779,,,0.07865168539325847,0.14606741573033705,,0.011235955056179749,,0.11235955056179779,0.12359550561797752,0.12359550561797752,0.11235955056179779,0.022471910112359526,0.022471910112359526,,0.13483146067415727
2014-11-28,0.13582677165354332,,,0.10433070866141735,0.2106299212598425,0.12007874015748032,0.037401574803149595,,,0.05314960629921259,0.05314960629921259,,0.037401574803149595,0.037401574803149595,,0.2106299212598425
2014-12-31,0.12662337662337658,,,,,0.0032467532467532786,0.11363636363636359,0.02922077922077925,,0.1461038961038961,0.1461038961038961,,0.1461038961038961,,,0.28896103896103903
2015-01-30,,,,,,0.10189573459715641,0.06872037914691945,0.12085308056872038,,0.13981042654028436,0.04976303317535545,,0.12085308056872038,0.06872037914691945,,0.3293838862559242
2015-02-27,0.13599999999999998,,,,0.12000000000000001,,0.11466666666666665,0.09866666666666665,,0.09866666666666665,0.09866666666666665,,0.09866666666666665,0.11466666666666665,,0.12000000000000001
2015-03-31,0.022222222222222216,,,,0.26666666666666666,,0.19999999999999998,0.044444444444444446,,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.17777777777777778,,0.08888888888888889
2015-04-30,0.07368421052631578,,,0.07368421052631578,0.21403508771929824,,0.06666666666666667,,0.07368421052631578,0.05263157894736842,0.07368421052631578,0.21403508771929824,0.05263157894736842,0.06666666666666667,,0.03859649122807017
2015-05-29,0.10033076074972436,,,,0.2943770672546857,,,,0.05843439911797133,0.11797133406835722,0.11797133406835722,0.11797133406835722,0.05843439911797133,0.07607497243660419,,0.05843439911797133
2015-06-30,0.03953147877013177,,,,0.452415812591508,,,,0.03953147877013177,0.19472913616398244,0.19472913616398244,0.016105417276720345,,0.0629575402635432,,
2015-07-31,0.10131477184841453,,,0.10131477184841453,0.1585460170146945,,0.11368909512761019,,0.022428460943542155,0.13379737045630316,0.14617169373549882,0.08894044856921886,0.010054137664346485,0.11368909512761019,,0.010054137664346485
2015-08-31,,0.15294117647058822,,,0.03529411764705881,,,0.15294117647058822,,0.1764705882352941,0.1764705882352941,,,,0.15294117647058822,0.15294117647058822
2015-09-30,,0.18706293706293706,,,,,,0.18706293706293706,,,,,,,0.18706293706293706,0.4388111888111888
2015-10-30,0.21271929824561406,,,,0.17763157894736845,,0.13815789473684212,0.15570175438596492,,0.002192982456140343,0.002192982456140343,,0.15570175438596492,,,0.15570175438596492
2015-11-30,,0.1337719298245614,,,0.09868421052631576,,0.09868421052631576,0.1337719298245614,,0.1337719298245614,0.1337719298245614,,0.1337719298245614,,,0.1337719298245614
2015-12-31,0.20099667774086372,0.11794019933554818,,,0.0647840531561462,,0.11794019933554818,0.11794019933554818,,,0.09136212624584718,,0.14451827242524917,,,0.14451827242524917
2016-01-29,,0.25,,,,,0.25,0.25,,,,,,,0.25,
2016-02-29,,0.25,,,,,,0.25,,,,,,,0.25,0.25
2016-03-31,,0.11242603550295857,,,,0.11242603550295857,0.11242603550295857,0.11242603550295857,,,,,0.11242603550295857,0.3254437869822486,,0.11242603550295857
2016-04-29,,0.17611336032388666,,,,0.14777327935222673,0.14777327935222673,0.17611336032388666,,,,,0.17611336032388666,,,0.17611336032388666
2016-05-31,,0.25578034682080925,,,,0.024566473988439294,0.024566473988439294,0.25578034682080925,,,,,0.18352601156069365,,,0.25578034682080925
2016-06-30,,0.15208333333333332,,,,0.18125000000000002,0.18125000000000002,0.15208333333333332,,,,,0.18125000000000002,,,0.15208333333333332
2016-07-29,,,,,,0.04932735426008968,0.04932735426008968,0.06726457399103139,,0.3273542600896861,0.147982062780269,,0.2914798206278027,,,0.06726457399103139
2016-08-31,,,,0.17058823529411762,,0.07647058823529411,0.07647058823529411,,,0.18235294117647058,0.17058823529411762,,0.052941176470588235,0.18235294117647058,,0.08823529411764705
2016-09-30,0.10344827586206898,,0.02586206896551724,0.11206896551724138,0.10344827586206898,0.0603448275862069,0.0603448275862069,,,0.03448275862068965,0.11206896551724138,0.10344827586206898,0.0603448275862069,0.06896551724137931,,0.15517241379310345
2016-10-31,,,,0.16566716641679158,0.16566716641679158,0.08620689655172414,0.08620689655172414,,,0.062218890554722635,0.0457271364317841,,0.18215892053973015,,,0.2061469265367316
2016-11-30,0.04932735426008968,,0.13004484304932734,0.14798206278026907,0.13004484304932734,0.06726457399103138,0.06726457399103138,,,0.03139013452914797,0.14798206278026907,,0.2286995515695067,,,
2016-12-30,0.13274336283185845,,0.20353982300884954,0.04424778761061947,0.04424778761061947,,0.008849557522123882,,,0.20353982300884954,0.22123893805309736,0.13274336283185845,0.008849557522123882,,,
2017-01-31,0.02307692307692309,,0.047692307692307714,0.047692307692307714,0.047692307692307714,,0.001538461538461533,,0.2692307692307692,0.24461538461538465,0.2692307692307692,0.02307692307692309,0.026153846153846142,,,
2017-02-28,0.028957528957528955,,0.05984555984555985,0.05984555984555985,0.05984555984555985,,0.028957528957528955,,0.3378378378378378,0.028957528957528955,0.05984555984555985,0.028957528957528955,0.3069498069498069,,,
2017-03-31,0.11823361823361825,,0.08689458689458691,0.12962962962962965,0.12962962962962965,,0.09829059829059829,,0.12962962962962965,0.08689458689458691,0.08689458689458691,0.11823361823361825,0.01566951566951568,,,
2017-04-28,0.1730769230769231,,,0.1730769230769231,0.011133603238866393,,,,0.18927125506072878,0.13461538461538464,0.13461538461538464,0.1730769230769231,0.011133603238866393,,,
2017-05-31,0.13076923076923078,,0.09999999999999999,0.13076923076923078,0.05384615384615385,0.023076923076923075,,,0.13846153846153844,0.09999999999999999,0.09999999999999999,0.13076923076923078,0.09230769230769231,,,
2017-06-30,0.20679012345679013,,,0.20679012345679013,0.08333333333333333,,,,0.08333333333333333,0.06481481481481481,0.06481481481481481,0.20679012345679013,,0.08333333333333333,,
2017-07-31,0.14550408719346047,,0.04632152588555858,0.14550408719346047,0.13678474114441416,,0.13351498637602183,,0.058310626702997276,0.04632152588555858,0.04632152588555858,0.14550408719346047,0.03760217983651226,0.058310626702997276,,
2017-08-31,0.21669477234401346,,0.041315345699831356,0.21669477234401346,0.06829679595278246,,,,0.05311973018549745,0.0935919055649241,0.0935919055649241,0.21669477234401346,,,,
2017-09-29,0.17624020887728462,,0.11357702349869452,0.17624020887728462,0.05352480417754569,,,,0.15535248041775457,0.07441253263707573,0.07441253263707573,0.17624020887728462,,,,
2017-10-31,0.057339449541284386,,0.3509174311926605,0.4243119266055045,0.057339449541284386,,,,0.02064220183486237,0.01605504587155965,0.01605504587155965,0.057339449541284386,,,,
2017-11-30,0.05772113943028484,,0.05022488755622189,0.06221889055472265,0.05022488755622189,,0.14617691154422788,,0.03823088455772114,0.1581709145427286,0.1581709145427286,0.05772113943028484,0.0697151424287856,0.08170914542728633,,0.0697151424287856
2017-12-29,0.03103103103103103,,0.19119119119119116,0.19119119119119116,0.015015015015015013,0.03103103103103103,0.17517517517517514,,0.12912912912912913,0.015015015015015013,0.015015015015015013,0.03103103103103103,0.14514514514514512,0.015015015015015013,,0.015015015015015013
2018-01-31,0.16020236087689713,,0.0387858347386172,0.1736930860033727,0.10961214165261382,0.025295109612141653,0.16020236087689713,,0.10961214165261382,0.025295109612141653,0.025295109612141653,0.025295109612141653,0.10961214165261382,0.011804384485666107,,0.025295109612141653
2018-02-28,0.12195121951219515,,0.13588850174216027,0.13588850174216027,0.0034843205574912766,,0.010452961672473884,,0.14285714285714285,0.12891986062717772,0.12891986062717772,0.01742160278745643,0.15679442508710803,0.01742160278745643,,
2018-03-30,0.07826086956521738,,0.09565217391304348,0.09565217391304348,0.07826086956521738,0.07826086956521738,0.07826086956521738,,0.11304347826086956,0.09565217391304348,0.09565217391304348,0.09565217391304348,,0.09565217391304348,,
2018-04-30,0.09753483386923899,,0.22829581993569129,0.09753483386923899,0.03965702036441584,0.056806002143622705,0.09753483386923899,,0.03965702036441584,0.11468381564844585,0.056806002143622705,0.11468381564844585,,0.056806002143622705,,
2018-05-31,0.06666666666666665,,0.2615384615384615,0.06666666666666665,0.08307692307692308,,,,0.06461538461538462,0.06461538461538462,0.2287179487179487,0.08307692307692308,,0.08102564102564101,,
2018-06-29,0.08835027365129006,,0.16184519155590305,0.08835027365129006,0.08835027365129006,,,,0.024237685691946842,0.024237685691946842,0.27443315089914,0.1008600469116497,0.14933541829554337,,,
2018-07-31,0.1294871794871795,,0.11666666666666667,,,,,,,0.07564102564102562,0.3012820512820513,,0.28076923076923077,,,0.09615384615384613
