Date,q_rebal,qo_rebal
1/31/2001,0,0
2/28/2001,0,0
3/30/2001,0,0
4/30/2001,0,0
5/31/2001,0,0
6/29/2001,0,0
7/31/2001,0,0
8/31/2001,0,0
9/28/2001,0,0
10/31/2001,0,0
11/30/2001,0,0
12/31/2001,-0.005,0
1/31/2002,-0.014880163,0
2/28/2002,-0.010812593,-0.005
3/29/2002,0.031734792,0.037326484
4/30/2002,0.024164373,-0.035552775
5/31/2002,-0.040407236,0.011152547
6/28/2002,-0.132295021,-0.088443531
7/31/2002,-0.073241569,3.26085E-07
8/30/2002,0.010523575,0.039133163
9/30/2002,-0.036483845,0.033641933
10/31/2002,0.148211087,0.180249097
11/29/2002,0.148695685,0.113299001
12/31/2002,-0.218503262,-0.111163505
1/31/2003,0.070166599,0.000721438
2/28/2003,0.024801532,0.004954309
3/31/2003,0.039073176,0.022004836
4/30/2003,0.038431817,0.039710957
5/30/2003,0.204814685,0.194334855
6/30/2003,0.008258854,-0.07698724
7/31/2003,0.02964121,0.002294838
8/29/2003,0.068877932,0.129847995
9/30/2003,0.006636425,-0.033750223
10/31/2003,0.216343165,0.116790475
11/28/2003,-0.021941108,-0.043721379
12/31/2003,-0.004519944,-0.002059507
1/30/2004,-0.045691279,0.035995788
2/27/2004,-0.027698052,-0.044005775
3/31/2004,-0.015288278,0.034803994
4/30/2004,-0.031574959,0.00062778
5/31/2004,-0.033939867,-0.045505965
6/30/2004,0.056098391,0.10174096
7/30/2004,-0.113152652,-0.146573025
8/31/2004,0.033928489,0.012795884
9/30/2004,0.080987151,0.115102368
10/29/2004,0.102390174,0.035071858
11/30/2004,0.144182068,0.097276994
12/31/2004,0.036266337,0.079124179
1/31/2005,-0.07357413,-0.081109684
2/28/2005,-0.021424798,-0.046669309
3/31/2005,-0.016607337,0.026198178
4/29/2005,-0.044689953,-0.043232298
5/31/2005,0.18978157,0.203890732
6/30/2005,-0.018973521,0.047609016
7/29/2005,0.075607767,0.045268355
8/31/2005,-0.04527751,0.03461702
9/30/2005,0.037957542,0.042957542
10/31/2005,0.100656115,0.061231797
11/30/2005,0.102730033,0.159412774
12/30/2005,-0.019711556,-0.01585737
1/31/2006,0.098965463,0.173939709
2/28/2006,-0.084627378,-0.050424846
3/31/2006,0.044784533,-0.042932609
4/28/2006,0.078841275,0.071747749
5/31/2006,-0.055009816,-0.089373004
6/30/2006,0.094382803,0.077573764
7/31/2006,0.062886321,0.084365646
8/31/2006,-0.043311107,0.060709341
9/29/2006,0.039959091,0.044959091
10/31/2006,0.123391417,0.15066312
11/30/2006,0.037047029,0.028187579
12/29/2006,-0.007883461,0.000222515
1/31/2007,0.022504741,0.014309948
2/28/2007,0.004082529,-0.075344056
3/30/2007,-0.041130095,0.009255604
4/30/2007,0.066510762,0.100382118
5/31/2007,0.048293978,0.060413842
6/29/2007,0.016297464,0.010322617
7/31/2007,-0.044293119,-0.066668769
8/31/2007,-0.006541348,0.068489714
9/28/2007,0.005070141,0.101940509
10/31/2007,0.103965186,0.059928099
11/30/2007,0.002333286,0.054365156
12/31/2007,0.017876337,0.032861469
1/31/2008,-0.185439959,-0.200221551
2/29/2008,-0.028413494,-0.056232795
3/31/2008,0.032424631,0.036415282
4/30/2008,0.10933021,0.118606863
5/30/2008,0.061569478,0.012903374
6/30/2008,-0.082231581,-0.142024535
7/31/2008,0.040067618,0.041325006
8/29/2008,-0.084644266,-0.036968407
9/30/2008,-0.186621342,-0.123494394
10/31/2008,-0.107213791,-0.151858255
11/28/2008,-0.079240849,-0.183227755
12/31/2008,0.020152371,0.016689274
1/30/2009,-0.05167944,-0.069996601
2/27/2009,-0.097713948,0.030060149
3/31/2009,0.079736592,0.043808563
4/30/2009,0.051344264,0.023262594
5/29/2009,0.053619912,-0.002093275
6/30/2009,0.00823909,0.036553411
7/31/2009,0.117042225,0.133062926
8/31/2009,-0.00068509,-0.027271225
9/30/2009,0.098983308,0.120818892
10/30/2009,-0.065873944,-0.081293362
11/30/2009,0.147881432,0.11632404
12/31/2009,0.033810805,0.060431358
1/29/2010,-0.018873283,-0.037251068
2/26/2010,0.124386491,0.135621426
3/31/2010,0.000886148,-0.038477521
4/30/2010,0.071144957,0.07638754
5/31/2010,-0.117242619,-0.098705491
6/30/2010,-0.079760498,-0.073268433
7/30/2010,0.047624165,0.11273892
8/31/2010,-0.014396562,0.000191434
9/30/2010,0.160682008,0.172700191
10/29/2010,0.108411489,0.074089793
11/30/2010,0.022287144,-0.038199097
12/31/2010,0.024046874,-0.00890867
1/31/2011,0.062708074,0.102989985
2/28/2011,0.016804777,-0.017066629
3/31/2011,0.031153098,0.050867264
4/29/2011,0.064934352,0.046611919
5/31/2011,-0.001863016,-0.07220563
6/30/2011,-0.02758546,-0.000405019
7/29/2011,-0.052395556,0.029073256
8/31/2011,-0.067578875,-0.092000837
9/30/2011,-0.058009974,0.007368147
10/31/2011,0.035232687,0.104995941
11/30/2011,0.036776032,-0.000583249
12/30/2011,0.000266393,-0.023940858
1/31/2012,0.086650911,0.074837699
2/29/2012,0.074895499,0.045318588
3/30/2012,0.074160519,0.088927472
4/30/2012,-0.014128534,0.006904603
5/31/2012,-0.008325068,-0.014894078
6/29/2012,0.006600101,0.006002269
7/31/2012,0.058511307,-0.045343578
8/31/2012,0.018075914,0.03050378
9/28/2012,-0.014077239,-0.012612036
10/31/2012,0.023082721,-0.012351916
11/30/2012,0.05075517,-0.01541359
12/31/2012,0.062639461,0.011792117
1/31/2013,-0.002827172,0.010010726
2/28/2013,-0.008657432,0.001600431
3/29/2013,0.087897576,0.110295717
4/30/2013,0.039171386,0.069665071
5/31/2013,0.064439787,0.033661076
6/28/2013,-0.03086012,-0.014186804
7/31/2013,0.107539437,0.119162153
8/30/2013,0.015280921,-0.040626884
9/30/2013,0.109057644,0.105119804
10/31/2013,0.006784986,0.040523512
11/29/2013,0.026501811,0.049905548
12/31/2013,0.035350189,0.070289388
1/31/2014,0.050680944,0.039893165
2/28/2014,0.119605241,0.116684695
3/31/2014,-0.116591101,-0.062274197
4/30/2014,-0.021773509,-0.005373299
5/30/2014,0.084513755,0.096789804
6/30/2014,0.11427864,0.127476871
7/31/2014,-0.03346018,-0.023148266
8/29/2014,0.066389295,0.038518057
9/30/2014,-0.011455521,-0.003974931
10/31/2014,-0.013723951,0.002330587
11/28/2014,0.036007716,0.057106048
12/31/2014,-0.006033748,0.034203698
1/30/2015,0.026833602,0.049651744
2/27/2015,0.096182919,0.089929637
3/31/2015,0.024989744,0.008521086
4/30/2015,-0.038474405,-0.005148593
5/29/2015,0.128107236,0.113135718
6/30/2015,-0.02298353,-0.022447046
7/31/2015,0.00695274,0.026733377
8/31/2015,-0.060407403,-0.050136814
9/30/2015,-0.042936152,-0.032819585
10/30/2015,0.042448325,0.032045343
11/30/2015,-0.01874474,-0.013781433
12/31/2015,-0.03367868,-0.032566008
1/29/2016,-0.086908802,-0.053480304
2/29/2016,-0.029541545,-0.031232284
3/31/2016,0.05099102,0.087752177
4/29/2016,0.00167198,-0.00413473
5/31/2016,0.10993945,0.122642853
6/30/2016,-0.023573776,-0.00950233
7/29/2016,0.076401592,0.083459278
8/31/2016,0.00764587,0.003283701
9/30/2016,0.054330237,0.041465361
10/31/2016,-0.021655566,0.009089729
11/30/2016,0.04977438,0.059088005
12/30/2016,0.018809424,0.009674389
1/31/2017,0.06017348,0.060637721
2/28/2017,0.037777324,0.010894068
3/31/2017,0.043383432,0.04802321
4/28/2017,0.028516755,0.03168234
5/31/2017,0.085815646,0.075135514
6/30/2017,-0.065834951,-0.077778813
7/31/2017,0.051404832,0.029053856
8/31/2017,0.004364812,0.004174722
9/29/2017,0.044931493,0.017145297
10/31/2017,0.04815466,0.034419499
11/30/2017,-0.014493518,-0.009198908
12/29/2017,-0.013666,-0.018134
1/31/2018,0.1215418,0.129738167
2/28/2018,-0.014857,-0.019629167
3/29/2018,-0.0092848,-0.015355714
4/30/2018,0.002496571,0.006555143
